TimeStamp,ClosingPrice
2018-01-25,0.17100000
2018-01-26,0.16750000
2018-01-27,0.16301577
2018-01-28,0.15755122
2018-01-29,0.15450000
2018-01-30,0.15421746
2018-01-31,0.14580047
2018-02-01,0.13746727
2018-02-02,0.14386798
2018-02-03,0.16620196
2018-02-04,0.17766181
2018-02-05,0.17950000
2018-02-06,0.18167361
2018-02-07,0.18399999
2018-02-08,0.18450000
2018-02-09,0.18604560
2018-02-10,0.18286770
2018-02-11,0.18420000
2018-02-12,0.18727255
2018-02-13,0.18825210
2018-02-14,0.23147538
2018-02-15,0.23903633
2018-02-16,0.24250000
2018-02-17,0.23409017
2018-02-18,0.23287200
2018-02-19,0.23565504
2018-02-20,0.26003754
2018-02-21,0.24950658
2018-02-22,0.23950000
2018-02-23,0.24400955
2018-02-24,0.24714113
2018-02-25,0.25884334
2018-02-26,0.25199328
2018-02-27,0.24500909
2018-02-28,0.23691000
2018-03-01,0.24085523
2018-03-02,0.24753933
2018-03-03,0.24421099
2018-03-04,0.24733804
2018-03-05,0.24674300
2018-03-06,0.24114831
2018-03-07,0.24510055
2018-03-08,0.25224607
2018-03-09,0.25635846
2018-03-10,0.25700380
2018-03-11,0.25916064
2018-03-12,0.25578938
2018-03-13,0.25378171
2018-03-14,0.26200000
2018-03-15,0.26984571
2018-03-16,0.27536670
2018-03-17,0.27496171
2018-03-18,0.28514001
2018-03-19,0.29000000
2018-03-20,0.30518999
2018-03-21,0.30370738
2018-03-22,0.30541022
2018-03-23,0.30773601
2018-03-24,0.30332700
2018-03-25,0.30449290
2018-03-26,0.30592146
2018-03-27,0.30101428
2018-03-28,0.29624395
2018-03-29,0.29819391
2018-03-30,0.29988009
2018-03-31,0.29535108
2018-04-01,0.30196393
2018-04-02,0.30990979
2018-04-03,0.32389075
2018-04-04,0.31255517
2018-04-05,0.31101471
2018-04-06,0.30600020
2018-04-07,0.29999810
2018-04-08,0.29200492
2018-04-09,0.29029810
2018-04-10,0.27500000
2018-04-11,0.27614886
2018-04-12,0.26411358
2018-04-13,0.25550000
2018-04-14,0.25216964
2018-04-15,0.24840787
2018-04-16,0.25170000
2018-04-17,0.26384931
2018-04-18,0.26636630
2018-04-19,0.25626600
2018-04-20,0.25200000
2018-04-21,0.24540840
2018-04-22,0.23610005
2018-04-23,0.23630043
2018-04-24,0.23496128
2018-04-25,0.23579230
2018-04-26,0.23111702
2018-04-27,0.22660212
2018-04-28,0.22384718
2018-04-29,0.22206728
2018-04-30,0.22158615
2018-05-01,0.21924015
2018-05-02,0.22050738
2018-05-03,0.20784702
2018-05-04,0.21458884
2018-05-05,0.21757292
2018-05-06,0.21730000
2018-05-07,0.21855374
2018-05-08,0.21122680
2018-05-09,0.20821462
2018-05-10,0.20408217
2018-05-11,0.20066876
2018-05-12,0.20722008
2018-05-13,0.19710000
2018-05-14,0.20141094
2018-05-15,0.19824307
2018-05-16,0.19600000
2018-05-17,0.19700000
2018-05-18,0.19558187
2018-05-19,0.19290322
2018-05-20,0.19554516
2018-05-21,0.19266548
2018-05-22,0.19843193
2018-05-23,0.20337704
2018-05-24,0.20400000
2018-05-25,0.20313216
2018-05-26,0.20103020
2018-05-27,0.20688197
2018-05-28,0.21546282
2018-05-29,0.21175830
2018-05-30,0.21000000
2018-05-31,0.20406247
2018-06-01,0.20840342
2018-06-02,0.20839100
2018-06-03,0.20178608
2018-06-04,0.20249209
2018-06-05,0.20105981
2018-06-06,0.19912039
2018-06-07,0.20186872
2018-06-08,0.19848254
2018-06-09,0.19758002
2018-06-10,0.20371045
2018-06-11,0.20231000
2018-06-12,0.20227669
2018-06-13,0.19618710
2018-06-14,0.19442675
2018-06-15,0.19650598
2018-06-16,0.19520999
2018-06-17,0.19105068
2018-06-18,0.18985004
2018-06-19,0.18458997
2018-06-20,0.18332229
2018-06-21,0.18350000
2018-06-22,0.18313066
2018-06-23,0.17510000
2018-06-24,0.17715475
2018-06-25,0.17700001
2018-06-26,0.17729999
2018-06-27,0.18308617
2018-06-28,0.17685294
2018-06-29,0.18162995
2018-06-30,0.17971672
2018-07-01,0.17600014
2018-07-02,0.18040060
2018-07-03,0.18362514
2018-07-04,0.18260051
2018-07-05,0.17782384
2018-07-06,0.17700000
2018-07-07,0.17450001
2018-07-08,0.16893129
2018-07-09,0.16962202
2018-07-10,0.17465904
2018-07-11,0.17557842
2018-07-12,0.17833230
2018-07-13,0.17662336
2018-07-14,0.17508493
2018-07-15,0.17439989
2018-07-16,0.17512243
2018-07-17,0.17708002
2018-07-18,0.17956002
2018-07-19,0.18380857
2018-07-20,0.18156023
2018-07-21,0.18150000
2018-07-22,0.18014131
2018-07-23,0.18100000
2018-07-24,0.18657444
2018-07-25,0.18209119
2018-07-26,0.17989500
2018-07-27,0.17897119
2018-07-28,0.17900000
2018-07-29,0.18031131
2018-07-30,0.18000043
